entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol,symbol_name,display_symbol
2020-03-03,2020-03-19,long,870226.51,0.815,0.717,-85682.15,-12.0773,12,512100,中证1000ETF,中证1000ETF
2020-03-18,2020-03-19,long,1269065.76,0.491,0.477,-18135.46,-2.9096,1,512800,银行ETF,银行ETF
2020-03-04,2020-03-20,long,689891.73,1.04,0.949,-63191.81,-8.8047,12,512880,证券ETF,证券ETF
2020-03-20,2020-03-23,long,824282.54,0.736,0.72,-13548.57,-2.2326,1,512100,中证1000ETF,中证1000ETF
2020-03-19,2020-03-24,long,1320115.82,0.461,0.458,-4324.3,-0.7104,3,512170,医疗ETF,医疗ETF
2020-03-24,2020-03-26,long,1278600.44,0.475,0.484,11139.55,1.8336,2,512800,银行ETF,银行ETF
2020-03-26,2020-03-31,long,1329286.14,0.485,0.479,-8360.15,-1.2964,3,512170,医疗ETF,医疗ETF
2020-03-31,2020-04-03,long,1310646.92,0.49,0.485,-6936.6,-1.0798,3,512800,银行ETF,银行ETF
2020-04-03,2020-04-07,long,1328270.88,0.483,0.494,14221.66,2.2161,1,512170,医疗ETF,医疗ETF
2020-04-07,2020-04-08,long,1322057.64,0.489,0.487,-3031.21,-0.4687,1,512800,银行ETF,银行ETF
2020-04-08,2020-04-09,long,1414155.78,0.467,0.48,17982.26,2.7221,1,512760,半导体ETF,半导体ETF
2020-03-19,2020-04-22,long,184696.02,3.295,3.686,71829.34,11.7994,23,518880,黄金ETF,黄金ETF
2020-04-22,2020-04-24,long,862279.25,0.793,0.801,6485.89,0.9482,2,515030,新能源车ETF,新能源车ETF
2020-04-24,2020-04-27,long,353140.68,1.951,1.938,-5002.84,-0.7259,1,159915,创业板ETF,创业板ETF
2020-04-27,2020-04-28,long,180026.12,3.763,3.717,-8685.18,-1.2817,1,518880,黄金ETF,黄金ETF
2020-03-23,2020-04-30,long,1357689.79,0.455,0.522,90567.28,14.6565,27,512010,医药ETF,医药ETF
2020-04-09,2020-05-13,long,1317667.57,0.501,0.549,62832.98,9.5151,21,512170,医疗ETF,医疗ETF
2020-04-28,2020-05-14,long,350814.5,1.947,2.047,34661.1,5.073,9,159915,创业板ETF,创业板ETF
2020-05-14,2020-05-15,long,1291528.21,0.567,0.56,-9477.36,-1.2938,1,512170,医疗ETF,医疗ETF
2020-05-15,2020-05-18,long,353664.38,2.047,2.045,-1141.49,-0.1576,1,159915,创业板ETF,创业板ETF
2020-05-13,2020-05-19,long,854287.08,0.853,0.856,2124.87,0.2915,4,515030,新能源车ETF,新能源车ETF
2020-05-19,2020-05-21,long,355666.6,2.052,2.045,-2926.82,-0.4009,2,159915,创业板ETF,创业板ETF
2020-05-18,2020-05-22,long,1333076.52,0.554,0.562,10218.3,1.3832,4,512170,医疗ETF,医疗ETF
2020-05-21,2020-05-22,long,828522.93,0.886,0.855,-26116.95,-3.5568,1,515030,新能源车ETF,新能源车ETF
2020-05-22,2020-05-27,long,1307972.65,0.55,0.553,3491.11,0.4851,3,512010,医药ETF,医药ETF
2020-05-22,2020-05-27,long,187047.57,3.846,3.845,-618.62,-0.086,3,518880,黄金ETF,黄金ETF
